District,Chiefdom,Name of PHU,Community,School Name,School enrollment
BONTHE,IMPERI,JANGALLOR CHP,GBANAGBA,SLMB PRIMARY SCHOOL-GBANAGBA,112
BONTHE,IMPERI,MORIBA TOWN CHC,MBELEBU SECTION,ADAKOVIE PRIMARY SCHOOL-MBELEBU SECTION,328
BONTHE,IMPERI,MORIBA TOWN CHC,TORKPOI TOWN(Grace Memorial Pri Sch),EVERY NATION PRIMARY SCHOOL-TORKPOI TOWN(Grace Memorial Pri Sch),427
BONTHE,IMPERI,MORIBA TOWN CHC,TORKPOI TOWN,EAGLE PRIMARY SCHOOL-TORKPOI TOWN,385
BONTHE,IMPERI,MORIBA TOWN CHC,TORKPOI TOWN,ADOLUSIA PRIMARY SCHOOL-TORKPOI TOWN,350
BONTHE,IMPERI,MORIBA TOWN CHC,MATTA SECTION,UBC PRIMARY SCHOOL -MATTA SECTION,429
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,PHILOMAT PRIMARY SCHOOL,295
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,ANZARUL PRIMARY SCHOOL,178
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,EVERY NATION/AA PRIMARY SCHOOL,294
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,KANKALAY PRIMARY SCHOOL,286
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,ICS PRIMARY SCHOOL,481
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,CLJC PRIMARY SCHOOL,254
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,RC BOYS PRIMARY SCHOOL,411
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,AHMADIYYA PRIMARY SCHOOL,227
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,LOGOS PRIMARY SCHOOL,496
BONTHE,IMPERI,MORIBA TOWN CHC,MESSIMA,EVERY NATION PRIMARY SCHOOL-MESSIMA,390
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBATOWN,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL MORIBATOWN,270
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,SAINT JAMES ROMAN CATHOLIC PRIMARY SCHOOL,420
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,UNITED METHODIST CHURCH PRIMARY SCHOOL,280
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN ,YOUNG WOMEN CHRISTIAN ASSOCIATION PRIMARYSCHOOL,520
BONTHE,IMPERI,MORIBA TOWN CHC,MORIBA TOWN,NEW HARVEST PRIMARY SCHOOL,180
BONTHE,IMPERI,MOGBWEMO CHC,MOGBWEMO,UBC PRIMARY SCHOOL-MOGBWEMO,262
BONTHE,IMPERI,MOGBWEMO CHC,MOGBWEMO,AHMADIYYA PRIMARY SCHOOL-MOGBWEMO,337
BONTHE,IMPERI,MOGBWEMO CHC,MOGBWEMO,FAWE PRIMARY SCHOOL-MOGBWEMO,303
BONTHE,IMPERI,MOGBWEMO CHC,MOGBWEMO,KANKALAY ISLAMIC PRIMARY SCHOOL-MOGBWEMO,312
BONTHE,IMPERI,MOGBWEMO CHC,MOGBWEMO,ST PAUL RC PRIMARY SCHOOL-MOGBWEMO,293
BONTHE,IMPERI,MOGBWEMO CHC,MOGBWEMO,EVERY NATION ACADEMY PRIMARY SCHOOL,320
BONTHE,IMPERI,MOGBWEMO CHC,MOGBWEMO,SHEKU KAWA INTERNATIONAL ACADEMY PRIMARY SCHOOL,150
BONTHE,IMPERI,JUNCTION-LA MCHP,LA,ICS PRIMARY SCHOOL-JUNCTION-LA,262
BONTHE,IMPERI,JUNCTION-LA MCHP,GANGAMA,UBC PRIMARY SCHOOL-GANGAMA,261
BONTHE,IMPERI,JUNCTION-LA MCHP,MOYEVEH,SLMB PRIMARY SCHOOL-MOYEVEH,103
BONTHE,IMPERI,MOKABA CHP,MOKABA ,UBC PRIMARY SCHOOL,196
BONTHE,IMPERI,MOKABA CHP,MOKABA ,KANKALAY PRIMARY SCHOOL-KANGA,131
BONTHE,IMPERI,MOKABA CHP,NYANDEHUN,RC PRIMARY SCHOOL-NYANDEHUN,110
BONTHE,IMPERI,MOKABA CHP,MOKABA ,SLMB PRIMARY SCHOOL,120
BONTHE,JONG,TISSANA CHP,TISSANA,DEC PRIMARY SCHOOL-TISSANA,75
BONTHE,JONG,MONGEREWA MCHP,MONGEREWA,DEC PRIMARY SCHOOL-MONGEREWA,70
BONTHE,JONG,MONGEREWA MCHP,VAAMA,DEC PRIMARY SCHOOL-VAAMA,139
BONTHE,JONG,JORMA CHP,JORMA,DEC PRIMARY SCHOOL-JORMA,257
BONTHE,JONG,JORMA CHP,KPAWAMA,DEC PRIMARY SCHOOL-KPAWAMA,200
BONTHE,JONG,KOMENDE MCHP,BAIAMA,SLUIM PRIMARY SCHOOL-BAIAMA,215
BONTHE,JONG,KOMENDE MCHP,MOSONGA,DEC PRIMARY SCHOOL-MOSONGA,215
BONTHE,JONG,KOMENDE MCHP,KOMENDE,UMC PRIMARY SCHOOL-KOMENDE,251
BONTHE,JONG,BAABA CHP,BO JONG,DEC PRIMARY SCHOOL BO JONG,154
BONTHE,JONG,KABATI CHP,KABATI,UBC PRIMARY SCHOOL-KABATI,373
BONTHE,JONG,KABATI CHP,MOCHARLES,DEC PRIMARY SCHOOL-MOCHARLES,256
BONTHE,JONG,SEMABU CHP,SEMABU,RC PRIMARY SCHOOL-SEMABU,238
BONTHE,JONG,SEMABU CHP,SEMABU,UBC PRIMARY SCHOOL-SEMABU,199
BONTHE,JONG,SEMABU CHP,WONGAFOR,ICS PRIMARY SCHOOL- WONGAFOR,288
BONTHE,JONG,GBANIGA CHP,GBANIGA,DEC PRIMARY SCHOOL-GBANIGA,235
BONTHE,JONG,GAMBIA CHC,GAMBIA,UBC PRIMARY SCHOOL-GAMBIA,458
BONTHE,JONG,GAMBIA CHC,MAMONGER,DEC PRIMARY SCHOOL-MAMONGER,323
BONTHE,JONG,MOYOWA CHP,MOYOWA,RC PRIMARY SCHOOL-MOYOWA,373
BONTHE,JONG,MOYOWA CHP,LABLAMA,UMC PRIMARY SCHOOL-LABLAMA,256
BONTHE,JONG,MATTRU CHC,MATTRU,RC BOYS PRIMARY SCHOOL- MATTRU,486
BONTHE,JONG,MATTRU CHC,MATTRU,ST THERESA RC GIRLS PRIMARY SCHOOL-MATTRU,349
BONTHE,JONG,MATTRU CHC,MOLUCIA,BN DEC PRIMARY SCHOOL-MOLUCIA,88
BONTHE,JONG,MATTRU CHC,MATTRU,DEC PRIMARY SCHOOL-MATTRU,438
BONTHE,JONG,MATTRU CHC,MATTRU,SOLAR GRACE ACADEMY PRIMARY SCHOOL-MATTRU,312
BONTHE,JONG,MATTRU CHC,MOWAGOR,NEW APOSTOLIC PRIMARY SCHOOL-MOWAGOR,140
BONTHE,JONG,MATTRU CHC,COMBEY ACADEMY PRIMARY SCHOOL,COMBEY ACADEMY PRIMARY SCHOOL,186
BONTHE,JONG,UBC HOSPITAL,LUAWA,ICS PRIMARY SCHOOL-LUAWA,244
BONTHE,JONG,UBC HOSPITAL,AOG PRIMARY SCHOOL (Evangelical School),AOG PRIMARY SCHOOL (Evangelical School),104
BONTHE,JONG,UBC HOSPITAL,LUAWA,UBC PRIMARY SCHOOL-LUAWA,284
BONTHE,JONG,UBC HOSPITAL,SPLENDY PRIMARY SCHOOL,SPLENDY PRIMARY SCHOOL,44
BONTHE,JONG,UBC HOSPITAL,PINNACLE PRIMARY SCHOOL,PINNACLE PRIMARY SCHOOL,109
BONTHE,JONG,UBC HOSPITAL,NYADAGOR SCHOOL,NYADAGOR SCHOOL,130
BONTHE,JONG,UBC HOSPITAL,MATTRU,UBC FLAMING PRIMARY SCHOOL-MATTRU,129
BONTHE,JONG,UBC HOSPITAL,MATTRU,EVERY NATION PRIMARY SCHOOL-MATTRU,164
BONTHE,JONG,UBC HOSPITAL,MATTRU,SRD PRIMARY SCHOOL-MATTRU,175
BONTHE,JONG,UBC HOSPITAL,MATTRU,NIN PRIMARY SCHOOL-MATTRU,258
BONTHE,JONG,UBC HOSPITAL,SIERRA LEONE MUSLIM BROTHERHOOD  PRIMARY SCHOOL,SIERRA LEONE MUSLIM BROTHERHOOD  PRIMARY SCHOOL,172
BONTHE,JONG,MOSAVIE MCHP,GENDEMA,UBC PRIMARY SCHOOL-GENDEMA,125
BONTHE,JONG,MOSAVIE MCHP,MOSAVIE,DEC PRIMARY SCHOOL-MOSAVIE,122
BONTHE,JONG,SEGBWEMA CHP,YENGESA,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL-YENGESA,180
BONTHE,JONG,SEGBWEMA CHP,BLAMA,ROMAN CATHOLIC PRIMARY SCHOOL-BLAMA,300
BONTHE,JONG,SEGBWEMA CHP,SEGBEWEMA,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL-SEGBEWEMA,312
BONTHE,JONG,SLRCS CHP MATTRU JONG,MATTRU JONG,UBC PRIMARY SCHOOL-MATTRU JONG,416
BONTHE,JONG,SLRCS CHP MATTRU JONG,MATTRU JONG,FAWE PRIMARY SCHOOL-MATTRU JONG,331
BONTHE,JONG,SLRCS CHP MATTRU JONG,MATTRU JONG,ICSS PRIMARY SCHOOL-MATTRU JONG,424
BONTHE,JONG,SLRCS CHP MATTRU JONG,MATTRU JONG,ELFS PRIMARY SCHOOL-MATTRU JONG,120
BONTHE,JONG,SLRCS CHP MATTRU JONG,SENEHUN VILLAGE,DEC PRIMARY SCHOOL-SENEHUN VILLAGE,189
BONTHE,JONG,SLRCS CHP MATTRU JONG,WULAI VILLAGE,UBC PRIMARY SCHOOL-WULAI VILLAGE,138
BONTHE,JONG,SLRCS CHP MATTRU JONG,EDDIE MARGAI PRIMARY SCHOOL,EDDIE MARGAI PRIMARY SCHOOL,201
BONTHE,JONG,SLRCS CHP MATTRU JONG,BISSAO,DEC PRIMARY SCHOOL-BISSAO,83
BONTHE,KWAMEBAI KRIM,MOSENTEH MCHP, MOSENTEH,R C SCHOOL MOSENTEH,251
BONTHE,KWAMEBAI KRIM,MOSENTEH MCHP, BLAMA,SLC PRIMARY SCHOOL- BLAMA,261
BONTHE,KWAMEBAI KRIM,BENDUMA CHC ,BENDUMA,UBC PRIMARY SCHOOL-BENDUMA,273
BONTHE,KWAMEBAI KRIM,BENDUMA CHC ,MARELAY,UBC PRIMARY SCHOOL-MARELAY,225
BONTHE,KWAMEBAI KRIM,MASSA KPANGUMA MCHP, MASSA KPANGUMA,UBC PRIMARY SCHOOL- MASSA KPANGUMA,236
BONTHE,KWAMEBAI KRIM,HOYA MCHP,HOYA,UBC SCHOOL-HOYA,97
BONTHE,KWAMEBAI KRIM,TOPAN CHP,GBONGEH,BONTHE DISTRICT COMMITTEE PRIMARY SCHOOL-GBONGEH,165
BONTHE,KWAMEBAI KRIM,TOPAN CHP,KORNALEH,UNITED BRETHREN IN CHRIST PRIMARY SCHOOL-KORNALEH,118
BONTHE,KWAMEBAI KRIM,TOPAN CHP,TOPAN,UNITED BRETHEN IN CHRIST PRIMARY SCHOOL-TOPAN,180
BONTHE,KWAMEBAI KRIM,TEI CHP,KARLEH,BONTHE DISTRICT COMMITTEE PRIMARY SCHOOL-KARLEH,145
BONTHE,KWAMEBAI KRIM,TEI CHP,MANO KURANKOH,ROMAN CATHOLIC PRIMARY SCHOOL-MANO KURANKOH,165
BONTHE,KWAMEBAI KRIM,TEI CHP,TEI,UBC PRIMARY SCHOOL-TEI,202
BONTHE,KPANDA KEMOH,SENJEHUN CHP,SENJEHUN,UBC PRIMARY SCHOOL-SENJEHUN,256
BONTHE,KPANDA KEMOH,SENJEHUN CHP,KEFELLEH,SLMB PRIMARY SCHOOL-KEFELLEH,147
BONTHE,KPANDA KEMOH,SENJEHUN CHP,LELEIMA,NEW HAEVEST PRIMARY SCHOOL-LELEIMA,233
BONTHE,KPANDA KEMOH,SENJEHUN CHP,SENJEHUN,SLMB PRIMARY SCHOOL-SENJEHUN,243
BONTHE,KPANDA KEMOH,SENJEHUN CHP,PELEHUN,DEC PRIMARY SCHOOL-PELEHUN,253
BONTHE,KPANDA KEMOH,GBONGEH CHP,GBONGEH,RC PRIMARY SCHOOL-GBONGEH,192
BONTHE,KPANDA KEMOH,GBONGEH CHP,NGIYEBU,RC PRIMARY SCHOOL-NGIYEBU,221
BONTHE,KPANDA KEMOH,GBONGEH CHP,MOTAMIE,DEC PRIMARY SCHOOL-MOTAMIE,242
BONTHE,KPANDA KEMOH,GAMBIA POPEIMA MCHP,GAMBIA POPEIMA,UBC PRIMARY SCHOOL-GAMBIA POPEIMA,249
BONTHE,KPANDA KEMOH,LAWANA MCHP,LAWANA,UBC PRIMARY SCHOOL-LAWANA,186
BONTHE,KPANDA KEMOH,LAWANA MCHP,TOBANDA,UBC PRIMARY SCHOOL-TOBANDA,167
BONTHE,KPANDA KEMOH,KOBOTU CHP,KOBOTU,DEC PRIMARY SCHOOL-KOBOTU,163
BONTHE,KPANDA KEMOH,MOTUO CHC,MOTUO,UBC PRIMARY SCHOOL-MOTUO,221
BONTHE,KPANDA KEMOH,MOTUO CHC,JAHUN,UBC PRIMARY SCHOOL-JAHUN,228
BONTHE,KPANDA KEMOH,MOTUO CHC,FOMAYA,DEC PRIMARY SCHOOL-FOMAYA,84
BONTHE,KPANDA KEMOH,MOTUO CHC,MOTUO ,SLMB PRIMARY SCHOOL-MOTUO ,137
BONTHE,NONGOBA BULLOM,GBAP CHC,GBAP,ST THERESA PRIMARY SCHOOL-GBAP,258
BONTHE,NONGOBA BULLOM,GBAP CHC,KARTI,DEC PRIMARY SCHOOL-KARTI,278
BONTHE,NONGOBA BULLOM,GBAP CHC,BULLOM,NATIONS PRIMARY SCHOOL-BULLOM,116
BONTHE,NONGOBA BULLOM,GBAP CHC,GANGAMA,DEC PRIMARY SCHOOL-GANGAMA,204
BONTHE,NONGOBA BULLOM,GBAP CHC,MOGIGBA,DEC PRIMARY SCHOOL-MOGIGBA,73
BONTHE,NONGOBA BULLOM,GBAMANI CHP,GBAMANI,BDEC PRIMARY SCHOOL-GBAMANI,239
BONTHE,NONGOBA BULLOM,GBAMANI CHP,GBEMBO,DEC PRIMARY SCHOOL-GBEMBO,173
BONTHE,NONGOBA BULLOM,GBAMANI CHP,MANO NGORINGANYA,BDEC PRIMARY SCHOOL-MANO NGORINGANYA,164
BONTHE,NONGOBA BULLOM,SUBU MCHP,SUBU PRIMARY SCHOOL,SUBU PRIMARY SCHOOL,190
BONTHE,NONGOBA BULLOM,BATHAHOL MCHP,BISSAO,DEC PRIMARY SCHOOL-BISSAO,255
BONTHE,NONGOBA BULLOM,MINAH CHP,MINAH,ICS PRIMARY SCHOOL-MINAH,318
BONTHE,NONGOBA BULLOM,MAAMU CHP,DEC PRIMARY SCHOOL,DEC PRIMARY SCHOOL,234
BONTHE,NONGOBA BULLOM,BAOMA KPENGEH CHC,MOTIFO,DEC PRIMARY SCHOOL-MOTIFO,141
BONTHE,NONGOBA BULLOM,BAOMA KPENGEH CHC,BAOMA KPENGEH,RC PRIMARY SCHOOL-BAOMA KPENGEH,292
BONTHE,NONGOBA BULLOM,TORMA GBAGBA CHP,SOLON,NEW HAEVEST PRIMARY SCHOOL-SOLON,367
BONTHE,NONGOBA BULLOM,TORMA GBAGBA CHP,BAABA,ICS PRIMARY SCHOOL-BAABA,377
BONTHE,NONGOBA BULLOM,TORMA GBAGBA CHP,TORMA GBAGBAHUN,SLUIM PRIMARY SCHOOL-TORMA GBAGBAHUN,268
BONTHE,SITTIA ,DELKEN CHC,DELKEN,UMC PRIMARY SCHOOL-DELKEN,317
BONTHE,SITTIA ,DELKEN CHC,KPETEWOMA,DEC PRIMARY SCHOOL-KPETEWOMA,186
BONTHE,SITTIA ,SANHAYA CHP,RC PRIMARY SCHOOL,RC PRIMARY SCHOOL,50
BONTHE,SITTIA ,NGEPAY CHP,DEC PRIMARY SCHOOL,DEC PRIMARY SCHOOL,50
BONTHE,SITTIA ,MO-SANDI MCHP,MO-SANDI,UMC PRIMARY SCHOOL-MO-SANDI,195
BONTHE,SITTIA ,MANIA CHC,MANIA,RC PRIMARY SCHOOL-MANIA,200
BONTHE,SITTIA ,MANIA CHC,DANGA,DEC PRIMARY SCHOOL-DANGA,99
BONTHE,SITTIA ,YONI CHC,YONI,UMC PRIMARY SCHOOL-YONI,99
BONTHE,SITTIA ,YONI CHC,MOSABAI,CHOKOLLOR PRIMARY SCHOOL-MOSABAI,255
BONTHE,SITTIA ,YONI CHC,CHOKOLLOR,DEC PRIMARY SCHOOL-CHOKOLLOR,104
BONTHE,SITTIA ,YONI CHC,BAIMBAY,DEC PRIMARY SCHOOL-BAIMBAY,105
BONTHE,SITTIA ,YONI CHC,BISACO,ICS PRIMARY SCHOOL-BISACO,67
BONTHE,SITTIA ,YONI CHC,HINDOR,DEC PRIMARY SCHOOL-HINDOR,39
BONTHE,SITTIA ,YONI CHC,TENGESAH,DEC PRIMARY SCHOOL-TENGESAH,55
BONTHE,SITTIA ,MBOKIE CHP,MBOKIE,UMC PRIMARY SCHOOL-MBOKIE,130
BONTHE,SOGBINI,TIHUN CHC,TIHUN,NATIONAL ISLAMIC PRIMARY SCHOOL-TIHUN,215
BONTHE,SOGBINI,TIHUN CHC,RC PRIMARY SCHOOL,RC PRIMARY SCHOOL,212
BONTHE,SOGBINI,TIHUN CHC,SEMABU,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL-SEMABU,300
BONTHE,SOGBINI,TIHUN CHC,LOGOS CHRISTIAN ACADEMY PRIMARY SCHOOL,LOGOS CHRISTIAN ACADEMY PRIMARY SCHOOL,143
BONTHE,SOGBINI,TIHUN CHC,NJAGBAHUN,NATIONAL ISLAMIC MISSION PRIMARY SCHOOL-NJAGBAHUN,225
BONTHE,SOGBINI,TIHUN CHC,KARLEH,ST. MARK ROMAN CATHOLIC PRIMARY SCHOOL-KARLEH,237
BONTHE,SOGBINI,MANDU CHP,MANDU,ST FRANCIS PRIMARY SCHOOL-MANDU,242
BONTHE,SOGBINI,GRIMA CHP,RC PRIMARY SCHOOL GRIMA (ST MICHAEL),RC PRIMARY SCHOOL GRIMA (ST MICHAEL),225
BONTHE,SOGBINI,GRIMA CHP,NAIJEH,DEC PRIMARY SCHOOL-NAIJEH,229
BONTHE,SOGBINI,GRIMA CHP,BAUYA,DEC PRIMARY SCHOOL-BAUYA,152
BONTHE,SOGBINI,NGUEH CHP,NGUEH,RC PRIMARY SCHOOL-NGUEH,278
BONTHE,SOGBINI,NGUEH CHP,SAAH,DEC PRIMARY SCHOOL-SAAH,64
BONTHE,SOGBINI,NGUEH CHP,MOSANJO,DEC PRIMARY SCHOOL-MOSANJO,137
BONTHE,SOGBINI,KANGA CHP,MOYORGBOR,DEC PRIMARY SCHOOL-MOYORGBOR,192
BONTHE,SOGBINI,KANGA CHP,TONSU,NATIONAL ISLAMIC MISSION PRIMARY SCHOOL(TONSU),143
BONTHE,SOGBINI,KANGA CHP,GEREHUN,UBC PRIMARY SCHOOL-GEREHUN,272
BONTHE,SOGBINI,KANGA CHP,KANGA,UBC PRIMARY SCHOOL-KANGA,144
BONTHE,YAWBEKO,TALIA CHC,DEC PRIMARY SCHOOL,DEC PRIMARY SCHOOL,269
BONTHE,YAWBEKO,TALIA CHC,TALIA,UBC PRIMARY SCHOOL-TALIA,255
BONTHE,YAWBEKO,TALIA CHC,TALIA,ICS PRIMARY SCHOOL-TALIA,197
BONTHE,YAWBEKO,TALIA CHC,NYADEHUN,NEW HARVEST PRIMARY SCHOOL-NYADEHUN,296
BONTHE,YAWBEKO,MOBEFA CHP,UBC PRIMARY SCHOOL-,UBC PRIMARY SCHOOL-,355
BONTHE,YAWBEKO,MOBEFA CHP,(R C HAHUN),ST MICHAEL PRIMARY SCHOOL (R C HAHUN),320
BONTHE,YAWBEKO,MOBEFA CHP,GBANGBA,ROMAN CATHOLIC PRIMARY SCHOOL-GBANGBA,165
BONTHE,YAWBEKO,SAAGOR CHP,GBEMBO,COMMUNITY PRIMARY SCHOOL-GBEMBO,70
BONTHE,YAWBEKO,SAAGOR CHP,SAAGOR,DEC PRIMARY SCHOOL-SAAGOR,184
BONTHE,YAWBEKO,SENEHUN GBLOH MCHP,SENEHUN GBLOH,DEC PRIMARY SCHOOL-SENEHUN GBLOH,128
BONTHE,YAWBEKO,SENEHUN GBLOH MCHP,FOWAH,DEC PRIMARY SCHOOL-FOWAH,172
PORT LOKO,KAFFU BULLOM,AL-AMIN CLINIC,NRW KAMBEES,CALVARY PRAISE ACADEMY PRIMARY SCHOOL,79
PORT LOKO,KAFFU BULLOM,AL-AMIN CLINIC,ROYEAMA,Saffie Koroma Primary School,100
PORT LOKO,THAINKATOPA,ASEEHA MCHP,KONIKAY (THAINKATOPA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,447
PORT LOKO,THAINKATOPA,ASEEHA MCHP,ROKEL (THAINKATOPA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,220
PORT LOKO,LOKOMASAMA,Babara CHC,PITIFUL WALLAH (LOKOMASAMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,346
PORT LOKO,LOKOMASAMA,Babara CHC,BABARA WALLAH (LOKOMASAMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,412
PORT LOKO,LOKOMASAMA,Babara CHC,BABARA (LOKOMASAMA),KING FARHAD PRIMARY SCHOOL,370
PORT LOKO,LOKOMASAMA,Babara CHC,Maforfy (Lokomasama),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,284
PORT LOKO,LOKOMASAMA,Bailor CHP,BAILOR (LOKOMASAMA),CHURCH OF GOD PRIMARY SCHOOL,687
PORT LOKO,LOKOMASAMA,Bailor CHP,BAILOR (LOKOMASAMA),KANKAYLAY ISLAMIC PRIMARY BAILOR,664
PORT LOKO,LOKOMASAMA,Bailor CHP,BOMIA (LOKOMASAMA),KANKAYLAY ISLAMIC PRIMARY BOMIA LOKOMASMA,643
PORT LOKO,LOKOMASAMA,Bailor CHP,ROBENK (LOKOMASAMA),KING FAHAD ISLAMIC PRIMARY SCHOOL,343
PORT LOKO,LOKOMASAMA,Bailor CHP,Bailor Town (Lokomasama),Bethesda Primary School ,136
PORT LOKO,KASSEH,Barmoi CHP,MABANTA (KASSEH),SAINT JOHN BAPTIST ROMAN CATHOLIC PRIMARY SCHOOL,214
PORT LOKO,KASSEH,Barmoi CHP,GBONKO MAFORAY (KASSEH),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,178
PORT LOKO,KASSEH,Barmoi CHP,BARMOI (KASSEH),EARLY CHILDHOOD DEVELOPMENT PRIMARY SCHOOL,159
PORT LOKO,KASSEH,Barmoi CHP,ROKTHENTI (KASSEH),EARLY CHILDHOOD DEVELOPMENT PRIMARY SCHOOL,94
PORT LOKO,KASSEH,Barmoi CHP,GBARAY KASSEH (KASSEH),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,301
PORT LOKO,KASSEH,Barmoi CHP,BARMOI (KASSEH),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,252
PORT LOKO,KAMASONDO,Benkia CHP,MASUM MADICK (KAMASONDO),KANKAYLAY ISLAMIC PRIMARY SCHOOL,315
PORT LOKO,KAMASONDO,Benkia CHP,POLLOTH (KAMASONDO),SAINT MARKS ROMAN CATHOLIC PRIMARY SCHOOL,238
PORT LOKO,LOKOMASAMA,Benkia MCHP,BANKIA PORT LOKO (LOKOMASAMA),KANKAYLAY ISLAMIC PRIMARY SCHOOL,220
PORT LOKO,KAMASONDO,Benkia CHP,Making,St. Peters Primary school,370
PORT LOKO,KAMASONDO,Bundulai MCHP,BUNDULIA (KAMASONDO),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,454
PORT LOKO,KAMASONDO,Bundulai MCHP,GBONKOKASONKO (KAMASONDO),MOVEMENT OF FAITH PRIMARY SCHOOL,274
PORT LOKO,KAMASONDO,Bundulai MCHP,MALI BUNDU (KAMASONDO),KANKAYLAY ISLAMIC PRIMARY SCHOOL,169
PORT LOKO,KAMASONDO,Bundulai MCHP,Bath Sint,WCSL Primary School,386
PORT LOKO,KAMASONDO,Bundulai MCHP,Rogberay Ka Bangura,DAQVAH Amadiyya Primary School,112
PORT LOKO,BUREH,Bureh MCHP ,YALISANDA (BUREH),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,375
PORT LOKO,BUREH,Bureh MCHP ,ROKON BUREH (BUREH),KANKAYLAY ISLAMIC PRIMARY SCHOOL,266
PORT LOKO,BUREH,Bureh MCHP ,ROGBELLA (BUREH),CHILDREN WELFARE PRIMARY SCHOOL,262
PORT LOKO,BUREH,Bureh MCHP ,SIMBECK (BUREH),PHILIP ROSMA PRIMARY SCHOOL,179
PORT LOKO,KAFFU BULLOM,CONAKRY DEE CHC,KITONKI (KAFFU BULLOM),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,324
PORT LOKO,KAFFU BULLOM,CONAKRY DEE CHC,MAYAYA (KAFFU BULLOM),SAINT ALBERT ROMAN CATHOLIC PRIMARY SCHOOL,351
PORT LOKO,KAFFU BULLOM,CONAKRY DEE CHC,PEWULAY (KAFFU BULLOM),CHURCH OF GOD PRIMARY SCHOOL,306
PORT LOKO,KAFFU BULLOM,CONAKRY DEE CHC,CONAKRY-DEE (KAFFU BULLOM),KULAFAI RASHIDEEN LSLAMIC SCHOOL,259
PORT LOKO,KAFFU BULLOM,CONAKRY DEE CHC,CONAKRY-DEE (KAFFU BULLOM),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,515
PORT LOKO,KAFFU BULLOM,CONAKRY DEE CHC,PEWULAY (KAFFU BULLOM),KULAFAI RASHIDEEN LSLAMIC PRIMARY SCHOOL,142
PORT LOKO,KAFFU BULLOM,CONAKRY DEE CHC,CONAKRY DEE,Sarah Memorial Preparatory and Primary School,150
PORT LOKO,KAFFU BULLOM,Evans CHC ,PONKA (KAFFU BULLOM),PONKA ACADEMY,183
PORT LOKO,KAFFU BULLOM,Evans CHC ,MAKASSA (KAFFU BULLOM),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,490
PORT LOKO,KAFFU BULLOM,Evans CHC ,MAKASSA (KAFFU BULLOM),CHRIST EVANGELISTIC PRIMARY SCHOOL,136
PORT LOKO,KAFFU BULLOM,GBANEH BANA CHP,GBANNEH BANA (KAFFU BULLOM),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,408
PORT LOKO,KAFFU BULLOM,GBANEH BANA CHP,SANTIGIGIEYA (KAFFU BULLOM),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,386
PORT LOKO,KAFFU BULLOM,GBANEH BANA CHP,SAMUYA (KAFFU BULLOM),SUSU GOSPEL PRIMARY SCHOOL,296
PORT LOKO,KAFFU BULLOM,GBANEH LOL CHP,TOMBO BANA (KAFFU BULLOM),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,294
PORT LOKO,KAFFU BULLOM,GBANEH LOL CHP,MABENDO (KAFFU BULLOM),P.C. BAI SHEBORA SHEBA GBEREH III PRIMARY,212
PORT LOKO,KAFFU BULLOM,GBANEH LOL CHP,TOMBO BANA (KAFFU BULLOM),INTERNATIONAL AID TRUST NEW HOPE PRIMARY,212
PORT LOKO,KAFFU BULLOM,GBANEH LOL CHP,GBANEH LOL,Amen International Academy,200
